model,mode,samples,psnr,ssim,lpips
RIFE,easy,310,39.68067176198006,0.9816348783431514,0.013015829158323486
RIFE,medium,310,35.41634056002294,0.9621698585248762,0.02337583544450031
RIFE,hard,310,29.92455957415042,0.89407673160876,0.047813452811415996
RIFE,extreme,310,24.85997808929481,0.7891125395413368,0.09777555140937047
FILM,easy,310,40.09605656802641,0.9831583574894935,0.011786629585924769
FILM,medium,310,35.87402190074662,0.964612441870474,0.021245006034563807
FILM,hard,310,30.165703767749843,0.8967052381846212,0.0439592182433473
FILM,extreme,310,24.892490185047368,0.7882012186511871,0.09241247333120554
