mode,sample_index,model,crop_x0,crop_y0,crop_x1,crop_y1,crop_mae,gradient_mae,edge_strength_ratio
hard,17,complex,1016,257,1160,401,0.08347763102154442,0.03444724157452583,0.9589161276817322
hard,17,rife,1016,257,1160,401,0.018058077140321146,0.010941868647933006,0.9629330635070801
hard,17,film,1016,257,1160,401,0.018162281630759298,0.011053257621824741,0.9881833791732788
