mode,sample_index,model,crop_x0,crop_y0,crop_x1,crop_y1,crop_mae,gradient_mae,edge_strength_ratio
extreme,16,complex,119,164,263,308,0.11183808399903171,0.04377955198287964,0.9711028933525085
extreme,16,rife,119,164,263,308,0.10804738562091502,0.04461057111620903,0.8844204545021057
extreme,16,film,119,164,263,308,0.10920151496812718,0.04587298259139061,0.9250897169113159
