sample_index,model,psnr,ssim,lpips,pce
36,complex_full,40.477520620588116,0.9951364398002625,0.004585724789649248,0.1552973570892421
36,complex_loss_matched,40.56337124387787,0.9952049255371094,0.004550555720925331,0.15503153292357444
36,phasenet_big,31.685022834754577,0.963691234588623,0.07610897719860077,0.381895387174769
36,phasenet_default,31.656473910696874,0.963575541973114,0.07651042193174362,0.3827098602322673
38,complex_full,36.803624587627475,0.9906715154647827,0.004226549994200468,0.17743476376285694
38,complex_loss_matched,36.99290042309058,0.9909965395927429,0.004086274188011885,0.17628746198325604
38,phasenet_big,31.20098635407102,0.960532546043396,0.07714296132326126,0.36071275025928035
38,phasenet_default,31.191151519743187,0.9605664610862732,0.0771605372428894,0.36180543985954294
39,complex_full,40.19468204945775,0.9950582385063171,0.005567548330873251,0.14074731467339555
39,complex_loss_matched,40.14264664084993,0.9950153231620789,0.00559154013171792,0.14144917500270437
39,phasenet_big,31.66453945336975,0.9638447165489197,0.07944659143686295,0.44796446503975296
39,phasenet_default,31.631046487733666,0.9637151956558228,0.07990586757659912,0.44923059312053776
131,complex_full,40.81535558774898,0.9879927039146423,0.012630840763449669,0.28992068045701197
131,complex_loss_matched,40.82709258816075,0.9879841804504395,0.012643517926335335,0.2900566964672126
131,phasenet_big,37.15951159848991,0.9789333343505859,0.03224044293165207,0.45276743485650917
131,phasenet_default,37.129173201994945,0.9786499738693237,0.032452620565891266,0.4556054241429981
139,complex_full,46.52603378179873,0.9947046637535095,0.00724058598279953,0.18343040060484997
139,complex_loss_matched,46.48591288479271,0.994678258895874,0.007251289673149586,0.1837535309367976
139,phasenet_big,38.174014540675394,0.9843208193778992,0.02438117191195488,0.3956657854337964
139,phasenet_default,38.144513226999464,0.9840793609619141,0.02453964203596115,0.39731619046679845
