model,mode,selection_metric,sample_index,psnr,ssim,lpips,pce,input_1_path,gt_path,input_2_path,prediction_path
complex_loss_matched,hard,pce,38,36.99290042309058,0.9909965395927429,0.004086274188011885,0.17628746198325604,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/prediction.png
complex_loss_matched,hard,pce,39,40.14264664084993,0.9950153231620789,0.00559154013171792,0.14144917500270437,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/prediction.png
complex_loss_matched,hard,pce,139,46.48591288479271,0.994678258895874,0.007251289673149586,0.1837535309367976,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/prediction.png
complex_loss_matched,hard,psnr,36,40.56337124387787,0.9952049255371094,0.004550555720925331,0.15503153292357444,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/prediction.png
complex_loss_matched,hard,psnr,38,36.99290042309058,0.9909965395927429,0.004086274188011885,0.17628746198325604,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/prediction.png
complex_loss_matched,hard,psnr,39,40.14264664084993,0.9950153231620789,0.00559154013171792,0.14144917500270437,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/prediction.png
complex_loss_matched,hard,psnr,139,46.48591288479271,0.994678258895874,0.007251289673149586,0.1837535309367976,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/139/prediction.png
complex_loss_matched,hard,ssim,36,40.56337124387787,0.9952049255371094,0.004550555720925331,0.15503153292357444,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/36/prediction.png
complex_loss_matched,hard,ssim,38,36.99290042309058,0.9909965395927429,0.004086274188011885,0.17628746198325604,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/38/prediction.png
complex_loss_matched,hard,ssim,39,40.14264664084993,0.9950153231620789,0.00559154013171792,0.14144917500270437,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/input_1.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/ground_truth.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/input_2.png,/home/salman/Documents/GitHub/PhaseNet/qualitative_snufilm_selected/complex_loss_matched/hard/samples/39/prediction.png
