model,mode,samples,psnr,ssim,lpips,pce
phasenet_default,hard,4,33.155796286293295,0.967984139919281,0.06452911719679832,0.39776552091978656
phasenet_big,hard,4,33.18114079571768,0.9680973291397095,0.06426992546766996,0.3965595969768997
complex_loss_matched,hard,4,41.04620779815278,0.9939737617969513,0.0053699149284511805,0.1641304252115831
complex_full,hard,4,41.000465259868015,0.993892714381218,0.005405102274380624,0.16422745903258612
