rank,mode,sample_index,phasenet_default_psnr,phasenet_default_psnr_deviation,phasenet_default_ssim,phasenet_default_ssim_deviation,phasenet_default_lpips,phasenet_default_lpips_deviation,phasenet_default_pce,phasenet_default_pce_deviation,phasenet_big_psnr,phasenet_big_psnr_deviation,phasenet_big_ssim,phasenet_big_ssim_deviation,phasenet_big_lpips,phasenet_big_lpips_deviation,phasenet_big_pce,phasenet_big_pce_deviation,complex_loss_matched_psnr,complex_loss_matched_psnr_deviation,complex_loss_matched_ssim,complex_loss_matched_ssim_deviation,complex_loss_matched_lpips,complex_loss_matched_lpips_deviation,complex_loss_matched_pce,complex_loss_matched_pce_deviation,complex_full_psnr,complex_full_psnr_deviation,complex_full_ssim,complex_full_ssim_deviation,complex_full_lpips,complex_full_lpips_deviation,complex_full_pce,complex_full_pce_deviation,representative_score
1,easy,115,31.426908809350525,0.04013064134886934,0.9041288495063782,0.3475455657041149,0.16476139426231384,0.059396905708624416,1.2425243683081881,0.12081431257286601,31.44710541102728,0.03842378137932234,0.9047462344169617,0.3468001607651482,0.1626116931438446,0.06394148952702755,1.2412252271517101,0.11990129687950928,31.581264414414278,0.06719935207803757,0.9064115285873413,0.31885354444530795,0.14913633465766907,0.015182442940200455,0.8440572105764611,0.04352357095660442,31.580657598998357,0.06794133683888183,0.9064120054244995,0.3185405745381501,0.14910291135311127,0.01553012722266436,0.8439970198568932,0.04347236998001615,0.12669984205533408
2,easy,63,32.29465672882074,0.1952185016649041,0.9001074433326721,0.3206249704140895,0.18022499978542328,0.06270487197786556,1.252683730912487,0.1414149279844223,32.37360394177947,0.20371676105405193,0.9012248516082764,0.32313485194967856,0.17841854691505432,0.06153642506383488,1.2513148310500488,0.1403268693803321,32.23652268065636,0.03337005109195993,0.9000678062438965,0.27766525507835893,0.14848825335502625,0.01014641306959985,0.849659580420639,0.03149708110542208,32.24036631946937,0.033146855970913144,0.9001502990722656,0.27788856048202853,0.1483440101146698,0.00963147805318034,0.8496391907135044,0.031362314376974364,0.134586636794851
3,easy,54,32.3498185347063,0.20507727084660737,0.896205484867096,0.2945039967663421,0.16240911185741425,0.07797070228081857,1.2928205781785165,0.2228022931730589,32.395912821445236,0.207696801033355,0.896902859210968,0.29408907921285976,0.16109317541122437,0.0759957819951137,1.2920945981342191,0.22288215079049115,32.21094545369673,0.029444444071654308,0.8966634273529053,0.2555614278164717,0.1331855058670044,0.10876628065828783,0.9041732133860126,0.08552619151740566,32.214489108519295,0.0291816507087581,0.8967176675796509,0.2556033596377766,0.13314327597618103,0.10851801658420362,0.9040530757407935,0.08542875594055689,0.15994051268961007
4,easy,57,31.936239694422706,0.13116057687086177,0.8898714184761047,0.2521017050090584,0.15359482169151306,0.14756899206470525,1.3248951537143954,0.2878414123422044,31.979919329394697,0.13348102891496305,0.89031583070755,0.24982122417443361,0.15301808714866638,0.1400974210681866,1.3249337716458218,0.28936235419458967,31.736798446858714,0.043327902267465974,0.8895576596260071,0.209425357940677,0.13270701467990875,0.11248448067610389,0.9148481511944498,0.10844185663519308,31.729111875534418,0.0451934572607533,0.8895058631896973,0.2087831548982486,0.13270600140094757,0.1119167846707262,0.9151455005056607,0.1092369468105126,0.1612652909874177
5,easy,86,32.36928683205184,0.20855673361634758,0.8800095915794373,0.18608344193447698,0.189408540725708,0.13521879330039732,1.3436161917539882,0.32580293805795907,32.402089322303084,0.20879872639736857,0.8805199265480042,0.18398825182884887,0.18830907344818115,0.1400493702422585,1.3425362775722567,0.32499717837790165,32.29087228903596,0.04171165921635165,0.8800169229507446,0.14747961036856924,0.1649937629699707,0.13840538167643995,0.9925150501273695,0.2751677597385468,32.29937797035601,0.04218930297478738,0.8800919651985168,0.1476666010496585,0.16497346758842468,0.13888589292010203,0.9923088649881985,0.27485629052577487,0.1824911207641118
1,medium,64,27.700025572212034,0.09715554139192618,0.7919002175331116,0.1815700272012345,0.2806345820426941,0.14663195762258,1.4896529608411502,0.21306346297771198,27.71183041945461,0.09613154363284229,0.7926945090293884,0.18031228676228675,0.27801451086997986,0.14323314751838725,1.4884003474339427,0.21122711177408746,27.585449903604015,0.015451700962695084,0.7894255518913269,0.14606334329009088,0.24585339426994324,0.08119014658386736,1.1244613000706076,0.16241196896807664,27.597819256350377,0.017226734933041277,0.7897363305091858,0.1473093710348027,0.2457071840763092,0.08088751800863289,1.1243170518058472,0.1621794428432026,0.1301278315940916
2,medium,69,27.931760299071414,0.139596075357116,0.807469367980957,0.26057608136682636,0.24052752554416656,0.11540146156290504,1.3410071844850888,0.10497710737625013,27.93765706458055,0.13743781820494824,0.8085595965385437,0.26102003286897923,0.2395225614309311,0.10960650672687818,1.3396728960777073,0.10651686550515714,27.765464774633813,0.045631129340322325,0.8077288866043091,0.23656541202274742,0.21360832452774048,0.12661970048056506,0.9951810549100264,0.12498122699918501,27.793361063360354,0.049990066882774756,0.8084350824356079,0.23975828725031614,0.21330904960632324,0.12794473367906375,0.9946667325213623,0.12600233622601495,0.1445390526156281
3,medium,61,28.093210095930058,0.16916443431701503,0.8189485669136047,0.31882757143293167,0.26171010732650757,0.022991749412494246,1.464336983398688,0.15889772680783643,28.169090958769132,0.17976972272097272,0.8206273317337036,0.32241015805118955,0.2603710889816284,0.027339908673262966,1.4607034250601802,0.1520549132782325,28.073381278147348,0.0972532203982213,0.8186638951301575,0.2906342966668437,0.22568918764591217,0.04876214467234184,1.1221128150424569,0.15719122842041477,28.0883318088066,0.09941287112239491,0.8190036416053772,0.2920105362265744,0.22542712092399597,0.04983393622786761,1.1217179953761767,0.15640235945507577,0.15893479861772933
4,medium,60,28.230044456321238,0.1942246546754031,0.811344563961029,0.28024086298284717,0.25845345854759216,0.001714924605947598,1.4876231595349534,0.2087205264950655,28.30612363991979,0.20483456637484837,0.8131036758422852,0.28413635028755035,0.25715434551239014,0.006210287585980831,1.4844735284393262,0.2028377857012797,28.054498853583937,0.09408758871208632,0.8081620931625366,0.2387074309675432,0.22000212967395782,0.0854135353142918,1.1392789755320898,0.19535202955035255,28.068448395542926,0.09608137450275774,0.8084186911582947,0.23967724677077187,0.21979421377182007,0.08614259113595789,1.1390154529889605,0.1948504877415052,0.16332701521276183
5,medium,116,28.63546234692155,0.2684739999906572,0.8181939721107483,0.31499836070834775,0.25826334953308105,0.00047287596315683097,1.4863749676105518,0.20604991128298578,28.647486807423345,0.26727379146204827,0.8190593123435974,0.31443344120332894,0.25660043954849243,0.0025718802193170137,1.4858311146270562,0.20573815702382373,28.68211114374253,0.19930656340793054,0.818577766418457,0.2902084274627669,0.23915797472000122,0.03804016663872823,1.106504697162338,0.12249399470903534,28.682752816392423,0.19900902954613098,0.8185704946517944,0.2898690047180359,0.23913466930389404,0.038522329962214434,1.1064703172240282,0.12251040268388394,0.17999827106139948
