model,mode,samples,mean_psnr,std_psnr,mean_ssim,std_ssim,mean_lpips,std_lpips,mean_pce,std_pce
complex_full,easy,310,32.02404758498222,6.526070959656247,0.8573466002941131,0.15403187495382728,0.14710485511281032,0.128656775076752,0.8642511414735978,0.46590791326287306
complex_full,extreme,310,20.94225123270848,4.6283235703567005,0.5783576240462641,0.23127704416714967,0.40417164227054003,0.17076144998117104,1.3046048465398379,0.373987049009041
complex_full,hard,310,23.831609825094816,5.258666722433322,0.6622415370518161,0.22341883338731047,0.3218206754284761,0.1674978280776301,1.2036911492923992,0.41069871597333263
complex_full,medium,310,27.495004717131444,5.96831259355277,0.7599414827362183,0.20226035920576,0.2331583336750496,0.15513950608603327,1.0513540191883313,0.4498907488926521
complex_loss_matched,easy,310,32.01910067024663,6.515483284004073,0.8573024642082953,0.15401761105068773,0.14718252229936152,0.1286889214192116,0.8643320492413977,0.46583581687072806
complex_loss_matched,extreme,310,20.94185829652051,4.628040611904901,0.5783161599789897,0.23125659661067996,0.4042684800021591,0.170759450016728,1.3046344659326428,0.3739435505389575
complex_loss_matched,hard,310,23.831157765262247,5.258275165196539,0.6621958149536964,0.2234089406299366,0.32192771384913116,0.1675132314504404,1.2037126311830968,0.4106583576454735
complex_loss_matched,medium,310,27.493283281983953,5.9648204225581924,0.7598853844788767,0.20224215937018644,0.23325542561754944,0.15516621622894777,1.0514023012500597,0.44983751912267333
phasenet_big,easy,310,31.231732821919504,5.605189832759163,0.8531425924070419,0.1487993501158263,0.17066660685644996,0.12597318474706035,1.1819976783345287,0.49396919932973815
phasenet_big,extreme,310,20.907897074014546,4.528568986466979,0.5781911134719848,0.2268419211834783,0.4246366749127065,0.1673639347944883,1.664250787303012,0.38272123335731034
phasenet_big,hard,310,23.72219985751514,5.027882244836468,0.6609206481806693,0.2181078387875686,0.34397382197240667,0.16399743052859175,1.5541741817784067,0.4244932927785814
phasenet_big,medium,310,27.186267070683318,5.467126896633171,0.757249705445382,0.19657452310841125,0.25620890016096737,0.1522385680582895,1.3895305898999082,0.468073225029498
phasenet_default,easy,310,31.20236976118438,5.595202075462633,0.8522123941490727,0.14938027414238178,0.17228372797910724,0.12664520201987722,1.1829437982768523,0.4931581991765941
phasenet_default,extreme,310,20.902873947363414,4.52630249477152,0.5769709176113529,0.22720409707122774,0.4267178574937486,0.16783028754083984,1.664163383941974,0.38229683145020615
phasenet_default,hard,310,23.712641046981428,5.023960847260574,0.6596946624017531,0.2185423382284049,0.3460264192533589,0.16460441888178706,1.5543462630798552,0.42395319925248165
phasenet_default,medium,310,27.169534771464814,5.460221745208137,0.7561195283166824,0.1970627418647302,0.2581909707386888,0.15306083477009794,1.3900713765414339,0.46737991008575064
